,NCESID,StudentTestID,StudentLocalID,StudentGradeLevel,TestDate,TestName,TestTypeName,TestSubjectName,TestGradeLevel,Score1Label,Score1Type,Score1Value,Score2Label,Score2Type,Score2Value,Score3Label,Score3Type,Score3Value
5501,373737,1013814,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,248.0,CPI,Scale,100.0
5502,373737,1013814,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,3 - NI,Scaled Score,Scale,226.0,CPI,Scale,50.0
5503,373737,1013814,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,3 - NI,Scaled Score,Scale,234.0,CPI,Scale,75.0
5504,373737,1752938,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,3 - NI,Scaled Score,Scale,234.0,CPI,Scale,75.0
5505,373737,1752938,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,3 - NI,Scaled Score,Scale,220.0,CPI,Scale,50.0
5506,373737,1752938,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,1 - F,Scaled Score,Scale,216.0,CPI,Scale,25.0
5507,373737,1974738,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,258.0,CPI,Scale,100.0
5508,373737,1974738,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,4 - P,Scaled Score,Scale,240.0,CPI,Scale,100.0
5509,373737,1974738,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,3 - NI,Scaled Score,Scale,238.0,CPI,Scale,75.0
5510,373737,1671804,,10,,MCAS,,,10,Performance Level,Level,,Scaled Score,Scale,,CPI,Scale,
5511,373737,1506248,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,5 - A,Scaled Score,Scale,278.0,CPI,Scale,100.0
5512,373737,1506248,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,5 - A,Scaled Score,Scale,266.0,CPI,Scale,100.0
5513,373737,1506248,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,5 - A,Scaled Score,Scale,264.0,CPI,Scale,100.0
5514,373737,1948822,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,252.0,CPI,Scale,100.0
5515,373737,1948822,,10,May 1,MCAS,MCAS Math,Math,10,Performance Level,Level,4 - P,Scaled Score,Scale,240.0,CPI,Scale,100.0
5516,373737,1948822,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,4 - P,Scaled Score,Scale,246.0,CPI,Scale,100.0
5517,373737,1921094,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,254.0,CPI,Scale,100.0
5518,373737,1921094,,10,June 1,MCAS,MCAS Science,Science,10,Performance Level,Level,3 - NI,Scaled Score,Scale,220.0,CPI,Scale,50.0
5519,373737,1100868,,10,April 1,MCAS,MCAS ELA,ELA,10,Performance Level,Level,4 - P,Scaled Score,Scale,248.0,CPI,Scale,100.0
